Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz_Nr;Fassungseigentuemer;OK_Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Fassung;Schutzzone;Anzahl_Zuleitungen;Schloss;Aufgenommen_durch;Erhebungsdatum;Alte_Ordnungs-Nr;Feldbegehung;Foto-Negativ-Nr_1;Foto-Negativ-Nr_2;Foto-Negativ-Nr_3;Objektbereinigung;WVA-Nutzung;WVA-Nutzung_ergaenzen;WVA-Nutzung_streichen;WVA-Nutzung_Lage_neu
;Quelle Brunnenstein;Schwändenen;Diesbach ;8777;720560;201580;251;unbekannt;824;unbekannt;;durch Beschreibung aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
301;Kaputzinerquelle ELMAG MW3;Gschwend-Gstöck;Elm;8767;732182;197302;1645;Elmag AG;1088;unbekannt;732/197-101;aus Plan gelesen;Mineralwasser;Elmag AG;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;geänderte Koordinaten gegenüber Geoportal;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Blegeli;Blegeli;Elm;8767;730510;199348;828;unbekannt;1494;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Bleiggeli HQ;Bleiggen;Elm;8767;731516;198822;1449;unbekannt;1631;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;Hauptquelle;;;;;;F. Brunold;13-Aug-19;;;;;;;;;;
;Quelle Bleiggeli NQ;Bleiggen;Elm;8767;731649;198808;1449;unbekannt;1094;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;Nebenquelle;;;;;;F. Brunold;13-Aug-19;;;;;;;;;;
;Quelle Burecheggli;Gschwend;Elm;8767;731998;197076;1641;Elmag AG;1118;unbekannt;;aus Plan gelesen;Brauchwasser Elmag AG;Elmag AG;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Chaib;Ramin;Elm;8767;736176;199827;838;unbekannt;1873;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Chamm;Gamperdun Chamm;Elm;8767;734854;200579;1898;unbekannt;1970;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Geissegg;Geissegg;Elm;8767;736125;198105;836;unbekannt;2005;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Lochhüttli;Leidruus;Elm;8767;728855;193876;802;unbekannt;1457;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Matt;Matt;Elm;8767;735755;197406;836;unbekannt;1955;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Meissenblanggen;Meissenblanggen;Elm;8767;730907;199952;830;unbekannt;1566;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Mittelstafel;Gamperdun Mittelstafel;Elm;8767;733980;199541;1898;unbekannt;1805;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Oberstafel;Jetz;Elm;8767;728359;192480;802;unbekannt;1811;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Panixerpass;Panixerpass;Elm;8767;727247;190912;804;unbekannt;2377;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Raminer Matt;Raminer Matt;Elm;8767;736430;200230;838;unbekannt;1984;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Schwamm;Gschwend;Elm;8767;731993;197097;1641;Elmag AG;1111;unbekannt;;aus Plan gelesen;Brauchwasser Elmag AG;Elmag AG;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Täli;Täli;Elm;8767;729713;199852;828;unbekannt;1947;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Unter Chüeboden;Unter Chüeboden;Elm;8767;730864;199366;828;unbekannt;1376;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Wichlenmatt;Wichlenmatt;Elm;8767;725000;195475;807;nicht bekannt;2069;unbekannt;725/196-101;Angabe auf Schreiben AUE;öffentliche Trinkwasserversorgung;Gemeinde Elm?;unbekannt;unbekannt;unbekannt;unbekannt;Schreiben J. Marti AUE;;Schutzzone bereits ausgeschieden aber Quelle fehlt auf Plan;;;;;;F. Brunold;;;;;;;;;;;
1058;Stögg ELMAG;Stöck;Elm;8767;732564;197118;1645;Elmag AG/Gemeinde;1264;unbekannt;732/197-102;aus Plan gelesen;Mineralwasser;Elmag AG;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;geänderte Koordinaten gegenüber Geoportal;;;;;;F. Brunold;;;;;;;;;;;
1059;Waschwasserquelle Gschwend;Gschwend;Elm;8767;732000;197067;1641;Elmag AG;1123;unbekannt;732/197-103;aus Plan gelesen;Brauchwasser Elmag AG;Elmag AG;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;geänderte Koordinaten gegenüber Geoportal;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Wärtligen;Wärtligen;Engi;8765;731145;204556;620;Heer-Rupp Barbara;891;unbekannt;;aus Plan gelesen, nur Angabe des Bereichs und nicht der genauen Lage;unbekannt;Brunnen vor Haus/Stall;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;Heer-Rupp Barbara, 055/642'24'27;;;;;;;F. Brunold;;;;;;;;;;;
;Schäflibrunnen Quelle;Schlattstrasse (Leinsiten) und Dörfli;Engi;8765;730572;204955;673;Schäflibrunnen-Corporation Engi;800;im Berg;730/204-102;aus Plan gelesen;Trinkwasser, Überwasser Garten/Stall;WV Weiler, Quartier Dörfli;Hangquelle, Einlauf in gemauerten Kasten;gut;Eisentüre vorne;gemauert (im Hang);Korporation Engi;Schäflibrunnen-Korporation Engi;Standort Brunnenstube: Parz 673 Leinsiten (Frau Tandler) |  Standort Brunnen: Parz. 288 Dörfli (Korporation);ja;;;;;F. Brunold;;;;;;;;;;;
202;Quelle Huszapfenwald;Huszapfenwald;Filzbach;8757;728806;219797;98;unbekannt;785;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
127;Quelle Huszapfenwald;Huszapfenwald;Filzbach;8757;728807;219893;98;unbekannt;763;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
746-M;Quelle Tränggi;Tränggi;Filzbach;8757;728797;220066;664;unbekannt;730;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
932;Quelle Unterlinden;Unterlinden;Filzbach;8757;728385;219530;337;unbekannt;866;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
;Quellen im Leimen;Leimen;Glarus;8750;724220;210185;1235;Bruck- und Büelbrunnen-Korporation;493;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Jenny;Büel;Haslen GL;8773;723725;205085;43;Hansjörg Jenny, Dorfstr. 33, Haslen;554;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Heizung und Tränkewasser;Brunnen bei Stall, Heizung;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;Hansjörg Jenny, Dorfstr. 33, Haslen;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Matt 2;Matt;Haslen GL;8773;722370;203590;284;unbekannt;556;kein Quellschacht;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunnen;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 4;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Mättli;Mättli;Haslen GL;8773;722533;203620;282;unbekannt;557;kein Quellschacht;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunnen;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 4;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Tschuoppis;Tschuoppis;Hätzingen;8775;722340;203360;1;unbekannt;573;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;Brunnen;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 4;;;;;;;;F. Brunold;;;;;;;;;;;
240;Blaue-Brunnen Quellen;Blaaben Brünnen;Klöntal;8750;714560;208920;2861;unbekannt;846;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
229;Löntschbord-Quelle;Löntschbort;Klöntal;8750;720493;211672;3268;unbekannt;683;WV Gemeinde;;aus Plan gelesen;öffentliche Trinkwasserversorgung;WV Gemeinde;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
244;Richisauer Schwammhöchi-Quelle;Schwammhöchi;Klöntal;8750;712150;208750;2188;unbekannt;1137;unbekannt;;aus Plan gelesen;Tränkewasser;Viehtränke;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;;;;;;;;;;;;
241;Rossbrunnnen;Rossbrünnen;Klöntal;8750;714380;208945;2861;unbekannt;848;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;;;;;;;;;;;;
246;Silbern-Quelle;Silberenbrunnen;Klöntal;8750;713465;206205;2076;unbekannt;1401;unbekannt;;aus Plan gelesen mit Hilfe Flurnamen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Brunnengüetliquellen;Fürli;Linthal;8783;718280;194840;627;unbekannt;792;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
;Felix- und Regulaquellen;Oberweid;Linthal;8783;718100;194260;621;unbekannt;827;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
;Gnüssquellen;Oberweid;Linthal;8783;718190;194430;621;unbekannt;789;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Füdlentrog;Bodmenplanggen;Linthal;8783;720345;196420;;unbekannt;1695;unbekannt;;aus Plan gelesen;Tränkewasser;Alp Mitteldurnachtal;Reservoir;unbekannt;unbekannt;unbekannt;Tagwensrat Linthal-Matt, 17.05.2004;;;;;;;;F. Brunold;15-Jul-19;;;;;;;;;;
;Quellfassung Brünnen;Alprüti;Linthal;8783;716380;196503;808;unbekannt;1177;im Boden;;aus Plan gelesen;Trinkwasser;Schnyderberg, Eggli, Sonnenberg, Oberberg, Alprüti;Betonriegel und Lehmausbildung;unbekannt;Lehm;unbekannt;Jan und Felix Zweifel, Linthal;Jan Zweifel, Benken (076 824 11 40);;;;;;;F. Brunold;;;;;;;;;;;
