"id","beschreibung_de","beschreibung_la","lebensraumnummer","bio_typ", "bio_typ_beschreibung"
149","Stehende Gewässer",,"1.1","BIO_TYP1", "Quellfluren, Gewässer"
150","Stehendes Gewässer ohne Vegetation",,"1.1.0","BIO_TYP1", "Quellfluren, Gewässer"
151","Fliessgewässer",,"1.2","BIO_TYP1", "Quellfluren, Gewässer"
152","Quellen und Quellfluren",,"1.3","BIO_TYP1", "Quellfluren, Gewässer"
153","Unterirdische Gewässer",,"1.4","BIO_TYP1", "Quellfluren, Gewässer"
154","Porengrundwasser",,"1.4.1","BIO_TYP1", "Quellfluren, Gewässer"
155","Kluftgrundwasser",,"1.4.2","BIO_TYP1", "Quellfluren, Gewässer"
156","Höhlenbach",,"1.4.3","BIO_TYP1", "Quellfluren, Gewässer"
157","Höhlensee",,"1.4.4","BIO_TYP1", "Quellfluren, Gewässer"
158","Künstliche Ufer",,"2.0","BIO_TYP2", "Uferbereiche, Verlandungsgesellschaften"
159","Künstliche Ufer ohne Vegetation",,"2.0.0","BIO_TYP2", "Uferbereiche, Verlandungsgesellschaften"
160","Künstliche Ufer mit Vegetation",,"2.0.1","BIO_TYP2", "Uferbereiche, Verlandungsgesellschaften"
161","Ufer mit Vegetation",,"2.1","BIO_TYP2", "Uferbereiche, Verlandungsgesellschaften"
162","Röhricht",,"2.1.2","BIO_TYP2", "Uferbereiche, Verlandungsgesellschaften"
163","Flachmoore",,"2.2","BIO_TYP7", "Anderer Biotoptyp"
164","Grossseggenried",,"2.2.1","BIO_TYP7", "Anderer Biotoptyp"
165","Feuchtwiesen",,"2.3","BIO_TYP7", "Anderer Biotoptyp"
166","Hochmoore",,"2.4","BIO_TYP7", "Anderer Biotoptyp"
167","Wechselfeuchte Pionierfluren",,"2.5","BIO_TYP7", "Anderer Biotoptyp"
168","Wechselfeuchte Pionierfluren ohne Vegetation",,"2.5.0","BIO_TYP7", "Anderer Biotoptyp"
169","Gletscher, Firn- und Schneefelder",,"3.1","BIO_TYP7", "Anderer Biotoptyp"
170","Firnfeld (Sommer)",,"3.1.3","BIO_TYP7", "Anderer Biotoptyp"
171","Schneefeld (Frühling)",,"3.1.4","BIO_TYP7", "Anderer Biotoptyp"
172","Alluvionen und Moränen",,"3.2","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
173","Alluvionen (Schwemmland)",,"3.2.1","BIO_TYP2", "Uferbereiche, Verlandungsgesellschaften"
174","Moräne",,"3.2.2","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
175","Steinschutt- und Geröllfluren",,"3.3","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
176","Kalkschutt",,"3.3.1","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
177","Silikatschutt",,"3.3.2","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
178","Felsen",,"3.4","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
179","Kalkfelsen",,"3.4.1","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
180","Silikat- oder Serpentinfelsen",,"3.4.2","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
181","Kleine Felsspalten, Halbhöhlen: endogäische Fauna (""Fauna der Steinunterseite"")",,"3.5.1","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
182","Bau von Tieren",,"3.5.2","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
183","Höhleneingang",,"3.5.3","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
184","Guanohaufen",,"3.5.4","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
185","Künstliche Höhlung (Minen, Tunnel, etc.)",,"3.5.5","BIO_TYP5", "Fels-, Felsgrus- und Karstfluren sowie Schuttfluren"
