"Daten ID";"Entnahmedatum";"Entnahmezeit";"Witterung";"Schüttungsmenge";"Wassertemperatur";"Trübung";"Elektr Leitfähigkeit";"pH-Wert";"Sauerstoff";"Sauerstoffsättigung";"Chemische Analysen";"Bakteriologische Analysen";"Bemerkungen Messdaten"
22;23.03.1998 00:00:00;;"Schneefall";6000.00;7.60;;303.00;;;;;;
23;23.03.1998 00:00:00;;"Schneefall";126.30;7.40;;229.00;;;;;;
24;23.03.1998 00:00:00;;"Schneefall";40.00;8.00;;285.00;;;;;;
25;23.03.1998 00:00:00;;"Schneefall";10.00;6.40;;250.00;;;;;;
26;23.03.1998 00:00:00;;"Schneefall";26.90;6.80;;282.00;;;;;;
27;06.05.1998 00:00:00;;"schön";;5.30;;189.00;;;;;;
28;06.05.1998 00:00:00;;"schön";28.00;5.30;;213.00;;;;;;
30;05.05.1998 00:00:00;;"schön";147.00;6.20;;380.00;;;;;;
31;05.05.1998 00:00:00;;"schön";46.40;7.10;;377.00;;;;;;
32;05.05.1998 00:00:00;;"schön";;6.10;;362.00;;;;;;
33;05.05.1998 00:00:00;;"schön";10.80;4.70;;321.00;;;;;;
35;05.05.1998 00:00:00;;"schön";18.30;6.40;;300.00;;;;;;
36;28.03.1998 00:00:00;;"Schneefall";300.00;8.00;;362.00;;;;;;
37;05.05.1998 00:00:00;;"schön";60.00;7.50;;387.00;;;;;;"Schüttung >60 l/min"
38;06.05.1998 00:00:00;;"schön";100.00;6.40;;362.00;;;;;;"Schüttung 6.5.98 > 100 l/min"
40;06.05.1998 00:00:00;;"schön";;6.40;;360.00;;;;;;"Schüttung nicht messbar, Überlauf 20 - 30 l/min"
41;05.05.1998 00:00:00;;"schön";30.00;6.80;;272.00;;;;;;"Im Schacht Überlauf; Schüttung grösser als 30 l/min"
42;06.05.1998 00:00:00;;"schön";100.00;6.90;;332.00;;;;;;"Schüttung nicht messbar, > 100 l/min"
74;06.05.1998 00:00:00;;"schön";6.80;7.50;;374.00;;;;;;
73;05.05.1998 00:00:00;;"schön";;5.50;;199.00;;;;;;"Schüttung nicht messbar"
72;06.05.1998 00:00:00;;"schön";;6.30;;437.00;;;;;;"Schüttung nicht messbar"
71;06.05.1998 00:00:00;;"schön";10.20;6.40;;302.00;;;;;;
70;06.05.1998 00:00:00;;"schön";;6.00;;355.00;;;;;;"Schüttung nicht messbar"
69;06.05.1998 00:00:00;;"schön";30.00;7.10;;312.00;;;;;;"Schüttung nicht messbar; Überlauf 30 l/min"
67;05.05.1998 00:00:00;;"schön";60.00;5.40;;365.00;;;;;;
68;05.05.1998 00:00:00;;"schön";;5.80;;366.00;;;;;;"Schüttung nicht messbar"
66;05.05.1998 00:00:00;;"schön";8.00;5.80;;325.00;;;;;;
65;05.05.1998 00:00:00;;"schön";;6.50;;311.00;;;;;;"Schüttung nicht messbar"
64;05.05.1998 00:00:00;;"schön";;6.80;;312.00;;;;;;"Schüttung nicht messbar; Überlauf 30 l/min"
63;23.03.1998 00:00:00;;"Schneefall";2.20;7.60;;419.00;;;;;;
615;05.05.1998 00:00:00;;"schön";11.00;6.70;;300.00;;;;;;"Schüttung im Brunnen gemessen; Ertrag grösser"
616;05.05.1998 00:00:00;;"schön";20.00;6.30;;302.00;;;;;;
612;05.05.1998 00:00:00;;"schön";;7.20;;293.00;;;;;;
49;26.03.1998 00:00:00;;"schön";;7.80;;468.00;;;;;;"Schüttung nicht messbar; gemäss Herrn Zimmermann klein"
54;26.03.1998 00:00:00;;"schön";4000.00;8.10;;428.00;;;;;;"Schüttung ca. 4000 l/min"
55;26.03.1998 00:00:00;;"schön";;7.90;;547.00;;;;;;"Schüttung nicht messbar"
57;26.03.1998 00:00:00;;"schön";;8.40;;464.00;;;;;;"Schüttung nicht messbar"
61;26.03.1998 00:00:00;;"schön";40.00;8.80;;421.00;;;;;;
755;25.03.1998 00:00:00;;"schön";51.60;5.70;;152.00;;;;;;
17;17.03.1996 00:00:00;;;30.00;4.90;;;;;;;;
5;27.05.1996 00:00:00;;;137.00;5.00;;;;;;;;
5;25.03.1998 00:00:00;;"schön";44.10;5.20;;160.00;;;;;;
25;17.03.1996 00:00:00;;;30.00;4.90;;;;;;;;
3;27.05.1996 00:00:00;;;240.00;5.00;;;;;;;;
4;25.03.1998 00:00:00;;"schön";19.00;5.40;;125.00;;;;;;
4;17.03.1996 00:00:00;;;10.00;4.80;;;;;;;;
4;27.05.1996 00:00:00;;;65.00;6.00;;;;;;;;
5;25.03.1998 00:00:00;;"schön";81.30;5.10;;136.00;;;;;;
5;17.03.1996 00:00:00;;;31.00;4.80;;;;;;;;
5;27.05.1996 00:00:00;;;115.00;5.30;;;;;;;;
6;25.03.1998 00:00:00;;"schön";353.00;5.20;;141.00;;;;;;
6;17.03.1996 00:00:00;;;0.00;;;;;;;;;
6;27.05.1996 00:00:00;;;1500.00;5.10;;;;;;;;
7;25.03.1998 00:00:00;;"schön";38.00;4.90;;86.00;;;;;;
7;29.09.1996 00:00:00;;;44.00;4.90;;;;;;;;
7;10.12.1995 00:00:00;;;16.00;4.80;;;;;;;;
8;25.03.1998 00:00:00;;"schön";49.20;5.00;;91.00;;;;;;
8;29.09.1996 00:00:00;;;63.00;4.90;;;;;;;;
8;10.12.1995 00:00:00;;;30.00;4.90;;;;;;;;
9;10.12.1995 00:00:00;;;100.00;4.60;;;;;;;;
9;28.05.1995 00:00:00;;;300.00;4.70;;;;;;;;
10;10.12.1995 00:00:00;;;100.00;4.70;;;;;;;;
10;28.05.1995 00:00:00;;;1150.00;4.30;;;;;;;;
12;25.03.1998 00:00:00;;"schön";;7.20;;215.00;;;;;;
14;25.03.1998 00:00:00;;"schön";1.40;4.20;;284.00;;;;;;
16;25.03.1998 00:00:00;;"schön";31.00;8.70;;428.00;;;;;;
17;25.03.1998 00:00:00;;"schön";30.00;6.80;;133.00;;;;;;
20;25.03.1998 00:00:00;;"schön";235.00;6.60;;167.00;;;;;;
610;25.03.1998 00:00:00;;"schön";7.80;2.40;;68.00;;;;;;
611;25.03.1998 00:00:00;;"schön";3.50;6.70;;366.00;;;;;;
613;25.03.1998 00:00:00;;"schön";7.70;8.50;;375.00;;;;;;
196;19.06.1998 00:00:00;;"Trocken";164.00;7.80;;392.00;;;;;;
196;19.06.1998 00:00:00;;"Trocken";164.00;7.80;;392.00;;;;;;
197;23.06.1998 00:00:00;;"trocken";80.30;7.00;;351.00;;;;;;
198;23.06.1998 00:00:00;;"trocken";377.00;6.50;;348.00;;;;;;
199;23.06.1998 00:00:00;;"trocken";163.00;6.80;;362.00;;;;;;
200;19.06.1998 00:00:00;;"trocken";607.00;7.20;;306.00;;;;;;
201;23.06.1998 00:00:00;;"trocken";103.70;8.40;;299.00;;;;;;
202;23.06.1998 00:00:00;;"trocken";9.98;8.90;;496.00;;;;;;
203;23.06.1998 00:00:00;;"trocken";2.80;11.40;;527.00;;;;;;
204;23.06.1998 00:00:00;;"trocken";22.80;9.60;;436.00;;;;;;
205;23.06.1998 00:00:00;;"trocken";52.00;9.80;;404.00;;;;;;
206;23.06.1998 00:00:00;;"trocken";;9.90;;432.00;;;;;;"Schüttung nicht messbar"
207;23.06.1998 00:00:00;;"trocken";5.50;9.20;;435.00;;;;;;
208;23.06.1998 00:00:00;;"trocken";106.00;8.50;;368.00;;;;;;"Schüttung Quelle mitte und oben"
209;23.06.1998 00:00:00;;"trocken";1.60;12.50;;540.00;;;;;;
210;19.06.1998 00:00:00;;"trocken";7.00;8.70;;212.00;;;;;;
211;19.06.1998 00:00:00;;"trocken";15.90;7.10;;421.00;;;;;;"Schüttung Einlauf rechts und links"
212;19.06.1998 00:00:00;;"trocken";3.80;6.90;;355.00;;;;;;
213;19.06.1998 00:00:00;;"trocken";13.00;4.80;;245.00;;;;;;
214;19.06.1998 00:00:00;;"trocken";30.50;5.60;;306.00;;;;;;"im Reservoir gemessen"
215;19.06.1998 00:00:00;;"trocken";9.00;5.80;;380.00;;;;;;
216;19.06.1998 00:00:00;;"trocken";4.60;4.20;;290.00;;;;;;
217;19.06.1998 00:00:00;;"trocken";11.70;5.10;;315.00;;;;;;"Schüttung total Quellen ober Niedern"
218;23.06.1998 00:00:00;;"trocken";0.75;15.90;;503.00;;;;;;
221;23.06.1998 00:00:00;;"trocken";19.00;11.70;;343.00;;;;;;
222;23.06.1998 00:00:00;;"trocken";141.00;8.40;;299.00;;;;;;
223;23.06.1998 00:00:00;;"trocken";81.00;7.50;;324.00;;;;;;
