polygon,ring,vertex,x,y
1,1,1,2725825.87167237,1219932.39940065
1,1,2,2725826.58966062,1219933.39479345
1,1,3,2725830.95528562,1219935.64375179
1,1,4,2725833.86570229,1219940.53854345
1,1,5,2725838.36361896,1219941.72916845
1,1,6,2725842.46466062,1219942.65521012
1,1,7,2725848.28549396,1219945.69791845
1,1,8,2725854.76778562,1219945.69791845
1,1,9,2725855.17328834,1219945.90066981
1,1,10,2725854.17247312,1219946.35937679
1,1,11,2725857.34747312,1219944.90416845
1,1,12,2725859.13341062,1219944.83802262
1,1,13,2725857.63952947,1219944.89335155
1,1,14,2725860.91934812,1219943.38281429
1,1,15,2725863.36674396,1219943.11823095
1,1,16,2725865.94643146,1219943.05208512
1,1,17,2725867.1964142,1219942.90378208
1,1,18,2725867.53393146,1219944.63958512
1,1,19,2725868.52611896,1219946.55781429
1,1,20,2725871.83341062,1219951.38646012
1,1,21,2725875.66986896,1219954.09843929
1,1,22,2725879.37403562,1219955.55364762
1,1,23,2725880.96153562,1219957.53802262
1,1,24,2725884.93028562,1219958.99323095
1,1,25,2725890.88341062,1219963.62343929
1,1,26,2725898.5018042,1219969.70424926
1,1,27,2725899.13962721,1219968.91028982
1,1,28,2725903.54620359,1219963.42500179
1,1,29,2725905.154,1219963.085
1,1,30,2725902.508,1219969.401
1,1,31,2725901.386111,1219971.492788
1,1,32,2725901.33379473,1219971.59576558
1,1,33,2725900.311,1219973.609
1,1,34,2725899.936967,1219974.561811
1,1,35,2725899.454906,1219975.957707
1,1,36,2725899.041918,1219977.375575
1,1,37,2725898.699,1219978.812
1,1,38,2725898.360495,1219980.085047
1,1,39,2725897.961815,1219981.886327
1,1,40,2725897.8139152,1219982.75452695
1,1,41,2725895.54875893,1219985.90631689
1,1,42,2725889.59563393,1219985.24485856
1,1,43,2725887.21438393,1219982.46673356
1,1,44,2725884.96542559,1219977.57194189
1,1,45,2725879.73990476,1219972.57793148
1,1,46,2725875.37427976,1219970.46126481
1,1,47,2725871.40552976,1219963.05293148
1,1,48,2725871.27323809,1219960.40709814
1,1,49,2725868.75969643,1219957.23209814
1,1,50,2725866.24615476,1219954.45397314
1,1,51,2725864.79094643,1219950.88209814
1,1,52,2725862.01282143,1219948.10397314
1,1,53,2725860.02844643,1219947.83938981
1,1,54,2725858.44094643,1219947.97168148
1,1,55,2725854.44037149,1219949.64934193
1,1,56,2725854.33990476,1219949.69147314
1,1,57,2725852.48782143,1219949.29459814
1,1,58,2725848.51907143,1219949.16230648
1,1,59,2725844.94719643,1219949.55918148
1,1,60,2725840.84615476,1219946.91334814
1,1,61,2725839.78782143,1219947.17793148
1,1,62,2725838.99407143,1219947.31022314
1,1,63,2725837.67115476,1219947.17793148
1,1,64,2725833.76875899,1219945.05134502
1,1,65,2725831.78417559,1219943.96985856
1,1,66,2725830.72584226,1219943.04381689
1,1,67,2725827.8327495,1219937.25763138
1,1,68,2725827.48469643,1219936.99147314
1,1,69,2725825.23573809,1219940.16647314
1,1,70,2725822.72219643,1219941.62168148
1,1,71,2725817.43052976,1219943.20918148
1,1,72,2725812.80032143,1219942.41543148
1,1,73,2725810.15448809,1219942.01855648
1,1,74,2725808.83157143,1219942.54772314
1,1,75,2725804.86282143,1219945.85501481
1,1,76,2725799.17427976,1219950.22063981
1,1,77,2725790.44302976,1219950.74980648
1,1,78,2725785.15136309,1219947.31022314
1,1,79,2725781.18261309,1219942.68001481
1,1,80,2725781.18261309,1219933.94876481
1,1,81,2725784.22532143,1219926.01126481
1,1,82,2725787.283,1219915.246
1,1,83,2725788.11972475,1219916.23599728
1,1,84,2725790.23839109,1219916.49453304
1,1,85,2725791.72667234,1219915.46927262
1,1,86,2725792.1400838,1219914.39440283
1,1,87,2725793.39685463,1219912.12890804
1,1,88,2725793.79372963,1219911.4674497
1,1,89,2725794.25675047,1219910.26028825
1,1,90,2725794.05831297,1219909.31771012
1,1,91,2725793.7540559,1219908.05455487
1,1,92,2725792.1776502,1219907.49728035
1,1,93,2725792.183798,1219907.482922
1,1,94,2725792.493038,1219907.244928
1,1,95,2725792.813582,1219907.022395
1,1,96,2725793.14466,1219906.815857
1,1,97,2725793.485473,1219906.625814
1,1,98,2725793.8352,1219906.452723
1,1,99,2725794.193,1219906.297
1,1,100,2725794.305531,1219906.250627
1,1,101,2725794.677254,1219906.111211
1,1,102,2725795.055371,1219905.990203
1,1,103,2725795.43897,1219905.887893
1,1,104,2725795.827126,1219905.804529
1,1,105,2725796.218906,1219905.740312
1,1,106,2725796.613365,1219905.695395
1,1,107,2725797.009553,1219905.669888
1,1,108,2725797.406514,1219905.663851
1,1,109,2725797.803295,1219905.6773
1,1,110,2725798.198937,1219905.710202
